word,hiragana,romaji,reason,note,pos,category
美徳,びとく,bitoku,abstract_word,kanji_only,普通名詞,抽象物
微増,びぞう,bizo,abstract_word,kanji_only,サ変名詞,抽象物
防備,ぼうび,bobi,abstract_word,kanji_only,サ変名詞,抽象物
膨張,ぼうちょう,bocho,abstract_word,kanji_only,サ変名詞,抽象物
防虫,ぼうちゅう,bochu,abstract_word,kanji_only,普通名詞,抽象物
防毒,ぼうどく,bodoku,abstract_word,kanji_only,普通名詞,抽象物
望遠,ぼうえん,boen,abstract_word,kanji_only,普通名詞,抽象物
防腐,ぼうふ,bofu,abstract_word,kanji_only,普通名詞,抽象物
暴風,ぼうふう,bofu,abstract_word,kanji_only,普通名詞,抽象物
望外,ぼうがい,bogai,abstract_word,kanji_only,普通名詞,抽象物
妄言,ぼうげん,bogen,abstract_word,kanji_only,サ変名詞,抽象物
暴言,ぼうげん,bogen,abstract_word,kanji_only,サ変名詞,抽象物
防護,ぼうご,bogo,abstract_word,kanji_only,サ変名詞,抽象物
防御,ぼうぎょ,bogyo,abstract_word,kanji_only,サ変名詞,抽象物
暴発,ぼうはつ,bohatsu,abstract_word,kanji_only,サ変名詞,抽象物
防塵,ぼうじん,bojin,abstract_word,kanji_only,普通名詞,抽象物
慕情,ぼじょう,bojo,abstract_word,kanji_only,普通名詞,抽象物
傍観,ぼうかん,bokan,abstract_word,kanji_only,サ変名詞,抽象物
冒険,ぼうけん,boken,abstract_word,kanji_only,サ変名詞,抽象物
勃興,ぼっこう,bokko,abstract_word,kanji_only,サ変名詞,抽象物
牧畜,ぼくちく,bokuchiku,abstract_word,kanji_only,普通名詞,抽象物
撲滅,ぼくめつ,bokumetsu,abstract_word,kanji_only,サ変名詞,抽象物
忘却,ぼうきゃく,bokyaku,abstract_word,kanji_only,サ変名詞,抽象物
暴挙,ぼうきょ,bokyo,abstract_word,kanji_only,普通名詞,抽象物
望郷,ぼうきょう,bokyo,abstract_word,kanji_only,普通名詞,抽象物
防音,ぼうおん,bon,abstract_word,kanji_only,サ変名詞,抽象物
勃発,ぼっぱつ,boppatsu,abstract_word,kanji_only,サ変名詞,抽象物
暴利,ぼうり,bori,abstract_word,kanji_only,普通名詞,抽象物
暴論,ぼうろん,boron,abstract_word,kanji_only,普通名詞,抽象物
謀略,ぼうりゃく,boryaku,abstract_word,kanji_only,普通名詞,抽象物
暴力,ぼうりょく,boryoku,abstract_word,kanji_only,普通名詞,抽象物
防止,ぼうし,boshi,abstract_word,kanji_only,サ変名詞,抽象物
防臭,ぼうしゅう,boshu,abstract_word,kanji_only,普通名詞,抽象物
募集,ぼしゅう,boshu,abstract_word,kanji_only,サ変名詞,抽象物
暴走,ぼうそう,boso,abstract_word,kanji_only,サ変名詞,抽象物
没収,ぼっしゅう,bosshu,abstract_word,kanji_only,サ変名詞,抽象物
防水,ぼうすい,bosui,abstract_word,kanji_only,サ変名詞,抽象物
傍点,ぼうてん,boten,abstract_word,kanji_only,普通名詞,抽象物
没,ぼつ,botsu,abstract_word,kanji_only,普通名詞,抽象物
没入,ぼつにゅう,botsunyu,abstract_word,kanji_only,サ変名詞,抽象物
没落,ぼつらく,botsuraku,abstract_word,kanji_only,サ変名詞,抽象物
没頭,ぼっとう,botto,abstract_word,kanji_only,サ変名詞,抽象物
無為,ぶい,bui,abstract_word,kanji_only,普通名詞,抽象物
侮辱,ぶじょく,bujoku,abstract_word,kanji_only,サ変名詞,抽象物
部会,ぶかい,bukai,abstract_word,kanji_only,普通名詞,抽象物
武家,ぶけ,buke,abstract_word,kanji_only,普通名詞,抽象物
物故,ぶっこ,bukko,abstract_word,kanji_only,サ変名詞,抽象物
部門,ぶもん,bumon,abstract_word,kanji_only,普通名詞,抽象物
武運,ぶうん,bun,abstract_word,kanji_only,普通名詞,抽象物
文,ぶん,bun,abstract_word,kanji_only,普通名詞,抽象物
文案,ぶんあん,bunan,abstract_word,kanji_only,普通名詞,抽象物
分別,ぶんべつ,bunbetsu,abstract_word,kanji_only,サ変名詞,抽象物
分断,ぶんだん,bundan,abstract_word,kanji_only,サ変名詞,抽象物
文言,ぶんげん,bungen,abstract_word,kanji_only,普通名詞,抽象物
文意,ぶんい,buni,abstract_word,kanji_only,普通名詞,抽象物
分化,ぶんか,bunka,abstract_word,kanji_only,サ変名詞,抽象物
分科,ぶんか,bunka,abstract_word,kanji_only,普通名詞,抽象物
分会,ぶんかい,bunkai,abstract_word,kanji_only,普通名詞,抽象物
分割,ぶんかつ,bunkatsu,abstract_word,kanji_only,サ変名詞,抽象物
分岐,ぶんき,bunki,abstract_word,kanji_only,サ変名詞,抽象物
文末,ぶんまつ,bunmatsu,abstract_word,kanji_only,普通名詞,抽象物
文明,ぶんめい,bunmei,abstract_word,kanji_only,普通名詞,抽象物
